nome_empresa;prazo;rating;TIR;valor;pagina;codigo_emprestimo;codigo_emprestimo_numero
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;31;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;31;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;31;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;31;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;31;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;31;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;31;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;31;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;31;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;31;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;32;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;32;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;32;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;32;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;32;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;32;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;32;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;32;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;32;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;32;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;33;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;33;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;33;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;33;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;33;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;33;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;33;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;33;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;33;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;33;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;34;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;34;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;34;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;34;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;34;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;34;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;34;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;34;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;34;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;34;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;35;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;35;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;35;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;35;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;35;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;35;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;35;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;35;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;35;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;35;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;36;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;36;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;36;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;36;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;36;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;36;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;36;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;36;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;36;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;36;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;37;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;37;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;37;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;37;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;37;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;37;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;37;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;37;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;37;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;37;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;38;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;38;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;38;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;38;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;38;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;38;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;38;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;38;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;38;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;38;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;39;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;39;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;39;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;39;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;39;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;39;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;39;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;39;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;39;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;39;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;40;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;40;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;40;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;40;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;40;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;40;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;40;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;40;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;40;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;40;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;41;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;41;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;41;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;41;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;41;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;41;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;41;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;41;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;41;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;41;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;42;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;42;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;42;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;42;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;42;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;42;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;42;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;42;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;42;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;42;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;43;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;43;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;43;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;43;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;43;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;43;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;43;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;43;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;43;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;43;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;44;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;44;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;44;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;44;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;44;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;44;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;44;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;44;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;44;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;44;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;45;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;45;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;45;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;45;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;45;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;45;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;45;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;45;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;45;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;45;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;46;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;46;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;46;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;46;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;46;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;46;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;46;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;46;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;46;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;46;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;47;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;47;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;47;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;47;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;47;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;47;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;47;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;47;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;47;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;47;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;48;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;48;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;48;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;48;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;48;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;48;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;48;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;48;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;48;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;48;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;49;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;49;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;49;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;49;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;49;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;49;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;49;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;49;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;49;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;49;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;50;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;50;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;50;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;50;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;50;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;50;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;50;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;50;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;50;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;50;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;51;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;51;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;51;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;51;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;51;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;51;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;51;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;51;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;51;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;51;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;52;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;52;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;52;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;52;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;52;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;52;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;52;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;52;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;52;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;52;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;53;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;53;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;53;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;53;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;53;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;53;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;53;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;53;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;53;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;53;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;54;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;54;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;54;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;54;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;54;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;54;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;54;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;54;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;54;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;54;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;55;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;55;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;55;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;55;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;55;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;55;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;55;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;55;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;55;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;55;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;56;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;56;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;56;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;56;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;56;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;56;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;56;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;56;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;56;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;56;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;57;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;57;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;57;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;57;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;57;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;57;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;57;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;57;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;57;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;57;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;58;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;58;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;58;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;58;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;58;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;58;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;58;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;58;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;58;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;58;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;59;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;59;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;59;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;59;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;59;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;59;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;59;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;59;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;59;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;59;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;60;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;60;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;60;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;60;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;60;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;60;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;60;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;60;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;60;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;60;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;61;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;61;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;61;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;61;loan_126069;126069
