nome_empresa;prazo;rating;TIR;valor;pagina;codigo_emprestimo;codigo_emprestimo_numero
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;15;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;15;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;15;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;15;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;15;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;15;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;15;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;15;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;15;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;15;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;16;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;16;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;16;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;16;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;16;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;16;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;16;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;16;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;16;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;16;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;17;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;17;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;17;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;17;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;17;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;17;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;17;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;17;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;17;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;17;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;18;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;18;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;18;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;18;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;18;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;18;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;18;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;18;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;18;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;18;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;19;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;19;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;19;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;19;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;19;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;19;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;19;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;19;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;19;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;19;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;20;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;20;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;20;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;20;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;20;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;20;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;20;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;20;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;20;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;20;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;21;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;21;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;21;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;21;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;21;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;21;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;21;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;21;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;21;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;21;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;22;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;22;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;22;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;22;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;22;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;22;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;22;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;22;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;22;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;22;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;23;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;23;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;23;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;23;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;23;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;23;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;23;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;23;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;23;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;23;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;24;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;24;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;24;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;24;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;24;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;24;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;24;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;24;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;24;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;24;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;25;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;25;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;25;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;25;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;25;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;25;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;25;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;25;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;25;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;25;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;26;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;26;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;26;loan_124994;124994
