nome_empresa;prazo;rating;TIR;valor;pagina;codigo_emprestimo;porcentagem
SANTA BIRRA;24 meses;B5;20,70% a.a.;R$88.000;28;loan_113605;100.0%
Ponto Forte Móveis.;24 meses;D2;37,99% a.a.;R$38.000;29;loan_113369;100.0%
AHTRAM;24 meses;E1;59,73% a.a.;R$28.000;29;loan_113082;100.0%
DROGAMED;24 meses;C3;28,32% a.a.;R$142.000;29;loan_112703;100.0%
Artrade Brasil;24 meses;D3;41,91% a.a.;R$54.000;29;loan_112494;100.0%
SOPRAR;24 meses;D3;41,91% a.a.;R$34.000;29;loan_112311;100.0%
CERVEJARIA PEIXOTO;24 meses;D1;35,28% a.a.;R$78.000;29;loan_112056;100.0%
DIAGONAL SERVICOS;24 meses;B5;20,70% a.a.;R$88.000;29;loan_109024;100.0%
ELEVA FORMATURAS;24 meses;B6;21,70% a.a.;R$220.000;29;loan_108298;100.0%
FASE;24 meses;B4;19,70% a.a.;R$218.000;29;loan_106820;100.0%
AF Fachadas;24 meses;D3;41,91% a.a.;R$110.000;29;loan_105681;100.0%
SOBRANCELHAS DESIGN BOULEVARD;24 meses;D1;35,28% a.a.;R$48.000;30;loan_104335;100.0%
FRATELLI HOUSE;24 meses;C1;25,64% a.a.;R$88.000;30;loan_102387;100.0%
GERMAN-TEC;12 meses;C1;25,64% a.a.;R$54.000;30;loan_112412;100.0%
LOCADADOS DATA SOLUTIONS;24 meses;B1;16,90% a.a.;R$108.000;30;loan_112403;100.0%
IBIRAU MANEJO AGROFLORESTAL;21 meses;C2;26,82% a.a.;R$54.000;30;loan_112393;100.0%
ITTE;24 meses;B6;21,70% a.a.;R$174.000;30;loan_112383;100.0%
ALVES E PEREIRA COMERCIO DE PRODUTOS AGROPECUARIOS LTDA;24 meses;D3;41,91% a.a.;R$34.000;30;loan_112248;100.0%
PARAISO AGRONEGOCIOS;12 meses;C1;25,64% a.a.;R$64.000;30;loan_112086;100.0%
AGROTOP;24 meses;D1;35,28% a.a.;R$34.000;30;loan_111980;100.0%
AES SERVICOS E COMERCIO;12 meses;D3;41,91% a.a.;R$26.000;30;loan_111945;100.0%
RDC TELEFONIA;18 meses;D1;35,28% a.a.;R$72.000;31;loan_111691;100.0%
Controlart;24 meses;B6;21,70% a.a.;R$54.000;31;loan_110723;100.0%
Cativo Distribuidora;24 meses;B2;17,74% a.a.;R$324.000;31;loan_110184;100.0%
ISENSE COMUNICACAO LTDA;24 meses;D3;41,91% a.a.;R$32.000;31;loan_109833;100.0%
Pattoli Mobiliário Corporativo ;24 meses;D3;41,91% a.a.;R$56.000;31;loan_109090;100.0%
Cannelle Doces Especiais;24 meses;B5;20,70% a.a.;R$92.000;31;loan_80694;100.0%
LUDENRIQUE CAMPOS FREIRE - ME;18 meses;D2;37,99% a.a.;R$34.000;31;loan_16837;100.0%
REMO FENUT CAMISEIRO ;24 meses;C1;25,64% a.a.;R$274.000;31;loan_111882;100.0%
Dryclean usa - blue center;24 meses;C1;25,64% a.a.;R$44.000;31;loan_111814;100.0%
AZMT;24 meses;B6;21,70% a.a.;R$34.000;31;loan_111687;100.0%
Maximum Security Sistemas de Monitoramento;21 meses;B5;20,70% a.a.;R$54.000;32;loan_111441;100.0%
HITS FM;24 meses;C3;28,32% a.a.;R$44.000;32;loan_111414;100.0%
MON PETIT BERCARIO E EDUCACAO INFANTIL;24 meses;B4;19,70% a.a.;R$532.000;32;loan_110943;100.0%
MOURA & MOURA SERVICOS MEDICOS LTDA;24 meses;C3;28,32% a.a.;R$50.000;32;loan_110681;100.0%
ERP Plus;24 meses;B5;20,70% a.a.;R$214.000;32;loan_110535;100.0%
MERCADO ITALIA;21 meses;D3;41,91% a.a.;R$54.000;32;loan_110452;100.0%
Carvão Rio Minas;24 meses;D2;37,99% a.a.;R$66.000;32;loan_109986;100.0%
YEI TEMAKERIA E SUSHI BAR;21 meses;C2;26,82% a.a.;R$44.000;32;loan_109820;100.0%
CONSULTA MAIS;24 meses;D1;35,28% a.a.;R$28.000;32;loan_109690;100.0%
Nevianisports;18 meses;D1;35,28% a.a.;R$34.000;32;loan_109511;100.0%
VIVA SAUDE CARD;15 meses;D3;41,91% a.a.;R$26.000;33;loan_109173;100.0%
Laticinios Sgorla;24 meses;B3;18,72% a.a.;R$218.000;33;loan_109053;100.0%
AMBROSIO - COZINHA ORGANICA E CAFE;24 meses;B3;18,72% a.a.;R$54.000;33;loan_108927;100.0%
BANANA GRUPO FORMOSO;24 meses;E2;61,59% a.a.;R$54.000;33;loan_106230;100.0%
HL SERVICOS PREDIAIS;12 meses;D3;41,91% a.a.;R$34.000;33;loan_105647;100.0%
LAUDOMOVEL;24 meses;D1;35,28% a.a.;R$54.000;33;loan_104069;100.0%
WALMAR CONTABILIDADE;24 meses;D3;41,91% a.a.;R$66.000;33;loan_102727;100.0%
TUTTIQ GAMING;24 meses;E1;59,73% a.a.;R$54.000;33;loan_111124;100.0%
LLOJA ;24 meses;D1;35,28% a.a.;R$88.000;33;loan_110882;100.0%
UNITECMA;24 meses;D2;37,99% a.a.;R$28.000;33;loan_110819;100.0%
GVD Consultoria em Saneamento;24 meses;B6;21,70% a.a.;R$56.000;34;loan_110536;100.0%
MERCADINHO SANTA ISABEL;12 meses;D3;41,91% a.a.;R$32.000;34;loan_110251;100.0%
JDR Projetos e Componentes;24 meses;D3;41,91% a.a.;R$58.000;34;loan_110230;100.0%
COWORKING TOWN;24 meses;D3;41,91% a.a.;R$28.000;34;loan_110185;100.0%
MOCA BONITA;18 meses;D1;35,28% a.a.;R$22.000;34;loan_110179;100.0%
Mako´s Poke;24 meses;C2;26,82% a.a.;R$66.000;34;loan_110074;100.0%
LABRUNA MATERIAIS PARA CONSTRUCAO;24 meses;C3;28,32% a.a.;R$44.000;34;loan_109684;100.0%
CONSULTORIA FERREIRA;24 meses;C2;26,82% a.a.;R$88.000;34;loan_109525;100.0%
RODO RAIO LOGISTICA;24 meses;B6;21,70% a.a.;R$90.000;34;loan_109440;100.0%
Levvo;24 meses;B4;19,70% a.a.;R$544.000;34;loan_109436;100.0%
EMPODERE-SE;24 meses;B5;20,70% a.a.;R$50.000;35;loan_109386;100.0%
COAN CONTABIL;24 meses;B5;20,70% a.a.;R$38.000;35;loan_109104;100.0%
VAICARD;24 meses;C1;25,64% a.a.;R$66.000;35;loan_109102;100.0%
Da Matta;24 meses;D2;37,99% a.a.;R$28.000;35;loan_109043;100.0%
Campos Incorporadora;24 meses;D3;41,91% a.a.;R$34.000;35;loan_108616;100.0%
LOTERIA APOENA;24 meses;D3;41,91% a.a.;R$36.000;35;loan_108444;100.0%
PRIME LUB;24 meses;B6;21,70% a.a.;R$68.000;35;loan_108364;100.0%
2Press gráfica e comunicação visual ;24 meses;B5;20,70% a.a.;R$110.000;35;loan_108208;100.0%
FM - CELULARES;24 meses;D2;37,99% a.a.;R$34.000;35;loan_107818;100.0%
ARENA FACTUS CONTABILIDADE EIRELI - ME;24 meses;B4;19,70% a.a.;R$110.000;35;loan_105977;100.0%
PROCABOS BRASIL TELECOM LTDA;24 meses;B6;21,70% a.a.;R$66.000;36;loan_104704;100.0%
INOVARE LABORATORIO DE PROTESE ODONTOLOGICA;18 meses;C3;28,32% a.a.;R$28.000;36;loan_104338;100.0%
CallConsult;24 meses;D1;35,28% a.a.;R$110.000;36;loan_92876;100.0%
O Atelier;24 meses;B4;19,70% a.a.;R$54.000;36;loan_109918;100.0%
GPS DELICIAS;18 meses;C3;28,32% a.a.;R$28.000;36;loan_109636;100.0%
Equipe B Arquitetura;24 meses;B4;19,70% a.a.;R$34.000;36;loan_108642;100.0%
GRUPO OPEN BAR BRASIL;24 meses;C3;28,32% a.a.;R$28.000;36;loan_108618;100.0%
COBERCHAPAS;24 meses;B6;21,70% a.a.;R$220.000;36;loan_108586;100.0%
MAXXYNPRESS GRAFICA DIGITAL LTDA;24 meses;D1;35,28% a.a.;R$44.000;36;loan_108068;100.0%
RAPARIGA;24 meses;D3;41,91% a.a.;R$28.000;36;loan_107756;100.0%
MONSTERS INK;24 meses;D1;35,28% a.a.;R$54.000;37;loan_107647;100.0%
EASS Serviços de Informatica Ltda;24 meses;D1;35,28% a.a.;R$28.000;37;loan_107575;100.0%
FAGNER FELICIANO COSTA & CIA LTDA;24 meses;D3;41,91% a.a.;R$34.000;37;loan_107381;100.0%
TRINK BIER;24 meses;D2;37,99% a.a.;R$88.000;37;loan_107241;100.0%
UB Automação;24 meses;B6;21,70% a.a.;R$88.000;37;loan_106686;100.0%
P. R. GOURMET EVENTOS;10 meses;B6;21,70% a.a.;R$52.000;37;loan_106280;100.0%
churrascaria e hotel boi na brasa;24 meses;E3;63,65% a.a.;R$28.000;37;loan_106137;100.0%
PHDL ARTESAO EM METAIS;24 meses;E3;63,65% a.a.;R$34.000;37;loan_106060;100.0%
Apx maquinas;24 meses;D1;35,28% a.a.;R$28.000;37;loan_106052;100.0%
Last Cell Telecom;24 meses;D3;41,91% a.a.;R$28.000;37;loan_105972;100.0%
Sapataria do Futuro;24 meses;B5;20,70% a.a.;R$16.000;38;loan_105886;100.0%
CEFK - COMPANY;24 meses;D1;35,28% a.a.;R$66.000;38;loan_105799;100.0%
AMAZONIA ADVENTURE;24 meses;C1;25,64% a.a.;R$40.000;38;loan_105565;100.0%
TERRA AMAZON CONSTRUTORA LTDA;24 meses;D2;37,99% a.a.;R$28.000;38;loan_105460;100.0%
DRA VILMA IMOVEIS;24 meses;D1;35,28% a.a.;R$54.000;38;loan_105319;100.0%
DISTRIBUIDORA J&M PAPELARIA;24 meses;D1;35,28% a.a.;R$100.000;38;loan_105268;100.0%
Bela Vitta;24 meses;E1;59,73% a.a.;R$28.000;38;loan_104941;100.0%
RTA REMOCOES EIRELI;24 meses;D3;41,91% a.a.;R$28.000;38;loan_103519;100.0%
TRUE ACAI;24 meses;B6;21,70% a.a.;R$216.000;38;loan_108112;100.0%
TR DREAM TELECOM;12 meses;B5;20,70% a.a.;R$26.000;38;loan_107830;100.0%
ARMAZÉM 2000;18 meses;C2;26,82% a.a.;R$164.000;39;loan_107702;100.0%
TOTAL FACILITIES SERVICES;24 meses;C2;26,82% a.a.;R$28.000;39;loan_107648;100.0%
JL TELECOM;24 meses;D3;41,91% a.a.;R$22.000;39;loan_107585;100.0%
SYSPRO SERVIÇOS E SOLUÇÕES;24 meses;B6;21,70% a.a.;R$44.000;39;loan_107581;100.0%
ABC SERVIÇOS;24 meses;B5;20,70% a.a.;R$104.000;39;loan_107568;100.0%
EMPÓRIO DO AÇO VIX;24 meses;C3;28,32% a.a.;R$44.000;39;loan_107456;100.0%
SKINÃO MOTOS;24 meses;D1;35,28% a.a.;R$44.000;39;loan_107357;100.0%
GLAMIR;24 meses;B6;21,70% a.a.;R$220.000;39;loan_107342;100.0%
SHERBIMET;24 meses;D1;35,28% a.a.;R$54.000;39;loan_107229;100.0%
CH DO BRASIL;24 meses;E3;63,65% a.a.;R$22.000;39;loan_107205;100.0%
PRO SOLUTION SERVICOS DE ENGENHARIA;12 meses;D3;41,91% a.a.;R$28.000;40;loan_107164;100.0%
NEO ODONTOLOGIA;24 meses;D3;41,91% a.a.;R$28.000;40;loan_107142;100.0%
PHIPER;24 meses;D3;41,91% a.a.;R$44.000;40;loan_107129;100.0%
VOGAL;12 meses;B6;21,70% a.a.;R$32.000;40;loan_106942;100.0%
STRATEGY MKT;24 meses;D1;35,28% a.a.;R$66.000;40;loan_106785;100.0%
VERTICORE CONTABILIDADE E CONTROLADORIA;24 meses;B4;19,70% a.a.;R$270.000;40;loan_106447;100.0%
GYROSTRUCK;24 meses;D1;35,28% a.a.;R$28.000;40;loan_106413;100.0%
I2R ARARAS CONSULTORIA;24 meses;C1;25,64% a.a.;R$88.000;40;loan_106360;100.0%
VOEX TELECOM;24 meses;D1;35,28% a.a.;R$44.000;40;loan_105769;100.0%
3G QB CURSOS E CONCURSOS;24 meses;D2;37,99% a.a.;R$28.000;40;loan_105711;100.0%
JAGUAR INSTRUMENTOS MUSICAIS;24 meses;D3;41,91% a.a.;R$76.000;41;loan_105649;100.0%
SASSATANI;24 meses;D1;35,28% a.a.;R$66.000;41;loan_105412;100.0%
NAWA AÇAI;18 meses;C2;26,82% a.a.;R$54.000;41;loan_105206;100.0%
OAKBERRY CIDADE JARDIM;12 meses;D1;35,28% a.a.;R$34.000;41;loan_105129;100.0%
VR MONTAGEM DE MÓVEIS;24 meses;B5;20,70% a.a.;R$256.000;41;loan_104751;100.0%
SALLA BELA;24 meses;C3;28,32% a.a.;R$50.000;41;loan_104603;100.0%
LOJA DA ZUANIR;24 meses;D1;35,28% a.a.;R$96.000;41;loan_104497;100.0%
BARTS MONTAGENS;6 meses;D3;41,91% a.a.;R$26.000;41;loan_104318;100.0%
Acoplast Brasil;18 meses;B5;20,70% a.a.;R$160.000;41;loan_106865;100.0%
AMMER;18 meses;D1;35,28% a.a.;R$104.000;41;loan_106118;100.0%
MEGA ACAI;24 meses;C3;28,32% a.a.;R$108.000;42;loan_106099;100.0%
Odonto Palladium ;24 meses;D3;41,91% a.a.;R$74.000;42;loan_106049;100.0%
MEDICAL SHOP;24 meses;C1;25,64% a.a.;R$16.000;42;loan_105992;100.0%
PIMENTA;24 meses;D3;41,91% a.a.;R$54.000;42;loan_105792;100.0%
CS SERVICOS;18 meses;B6;21,70% a.a.;R$44.000;42;loan_105640;100.0%
PIPARADISE;24 meses;C2;26,82% a.a.;R$52.000;42;loan_104927;100.0%
MERCADO AVENIDA;24 meses;E3;63,65% a.a.;R$54.000;42;loan_104431;100.0%
SNACK;6 meses;B3;18,72% a.a.;R$154.000;42;loan_104313;100.0%
IFAP;24 meses;E3;63,65% a.a.;R$34.000;42;loan_102754;100.0%
DBJ Software e Tecnologia;24 meses;D3;41,91% a.a.;R$24.000;42;loan_69046;100.0%
2I HEALTH CARE;24 meses;B5;20,70% a.a.;R$100.000;43;loan_106129;100.0%
TIME COMUNICACAO;24 meses;B6;21,70% a.a.;R$46.000;43;loan_105942;100.0%
MARIAGE DECORAÇÕES;24 meses;E3;63,65% a.a.;R$54.000;43;loan_105863;100.0%
FÁBRICA DE APLICATIVOS;24 meses;B2;17,74% a.a.;R$208.000;43;loan_105646;100.0%
AGÊNCIA LAB;24 meses;B4;19,70% a.a.;R$30.000;43;loan_105579;100.0%
LIKE ME;12 meses;E2;61,59% a.a.;R$34.000;43;loan_105327;100.0%
MICROLINK INFORMATICA;24 meses;B5;20,70% a.a.;R$66.000;43;loan_105325;100.0%
KM ONLINE;24 meses;D3;41,91% a.a.;R$22.000;43;loan_105280;100.0%
PONTO ONLINE MARKETING DIGITAL;24 meses;B6;21,70% a.a.;R$46.000;43;loan_105197;100.0%
FLYTTE TURISMO;12 meses;D1;35,28% a.a.;R$34.000;43;loan_105158;100.0%
EMBALE EMBALAGENS E PAPELARIA;24 meses;B5;20,70% a.a.;R$154.000;44;loan_105130;100.0%
MASTER PERSONALIZACAO E DRY FIT;12 meses;D1;35,28% a.a.;R$22.000;44;loan_104980;100.0%
PARRILLA TIERRA DEL FUEGO;24 meses;E3;63,65% a.a.;R$28.000;44;loan_104922;100.0%
SANTA PANELA;12 meses;C3;28,32% a.a.;R$16.000;44;loan_104802;100.0%
RECREACAO INFANTIL PATOTINHA FELIZ;24 meses;D3;41,91% a.a.;R$16.000;44;loan_104783;100.0%
WE SUSTENTABILIDADE;24 meses;C1;25,64% a.a.;R$42.000;44;loan_104776;100.0%
Area Sports;18 meses;B6;21,70% a.a.;R$50.000;44;loan_104748;100.0%
R. G. CONSULTORIA CONTABIL;24 meses;C2;26,82% a.a.;R$50.000;44;loan_104723;100.0%
MINEIRO DELIVERY;24 meses;E1;59,73% a.a.;R$34.000;44;loan_104676;100.0%
FCD ASSESSORIA CONTABIL;24 meses;B6;21,70% a.a.;R$38.000;44;loan_104645;100.0%
AUTO REAL MULTIMARCAS;24 meses;D3;41,91% a.a.;R$98.000;45;loan_104198;100.0%
WRAPPY;18 meses;D1;35,28% a.a.;R$42.000;45;loan_104133;100.0%
MINERACAO COSTA;24 meses;D3;41,91% a.a.;R$56.000;45;loan_104068;100.0%
V'LOZ SPORTSWEAR;24 meses;C3;28,32% a.a.;R$38.000;45;loan_103072;100.0%
GCONSULT;24 meses;D2;37,99% a.a.;R$26.000;45;loan_102885;100.0%
Siptalks;24 meses;D3;41,91% a.a.;R$98.000;45;loan_99158;100.0%
Nattrip Agência de Turismo;18 meses;B6;21,70% a.a.;R$48.000;45;loan_96534;100.0%
DCI;24 meses;B6;21,70% a.a.;R$94.000;45;loan_95948;100.0%
CHEZ PAULINE - CASA DE CULTURA;24 meses;D1;35,28% a.a.;R$24.000;45;loan_91870;100.0%
PH3A TECNOLOGIA;24 meses;B1;16,90% a.a.;R$330.000;45;loan_105239;100.0%
SANTOS LANGUAGE CENTER;24 meses;D3;41,91% a.a.;R$34.000;46;loan_104775;100.0%
KNN IDIOMAS;24 meses;D3;41,91% a.a.;R$34.000;46;loan_104473;100.0%
HC SERVICOS DE COBRANCAS;24 meses;B6;21,70% a.a.;R$150.000;46;loan_104455;100.0%
L.A. CONTAB;24 meses;B6;21,70% a.a.;R$102.000;46;loan_104354;100.0%
SP ZOOM - Serviços em Multimídia;24 meses;C1;25,64% a.a.;R$44.000;46;loan_104336;100.0%
VITA HOUSE;24 meses;D1;35,28% a.a.;R$36.000;46;loan_104298;100.0%
NUNES ACADEMIA;24 meses;C3;28,32% a.a.;R$34.000;46;loan_104242;100.0%
JJ DESIGN EMBALAGENS;18 meses;D3;41,91% a.a.;R$36.000;46;loan_104194;100.0%
Barbearia Dom Fidalgo;24 meses;D1;35,28% a.a.;R$34.000;46;loan_104193;100.0%
Angiomédica;24 meses;D2;37,99% a.a.;R$110.000;46;loan_104155;100.0%
4 A VEICULOS;24 meses;D1;35,28% a.a.;R$110.000;47;loan_104120;100.0%
MAKE IT SIMPLE;24 meses;B3;18,72% a.a.;R$308.000;47;loan_104119;100.0%
KS MATERIAIS DIDATICOS PARA ENSINO DE IDIOMAS;24 meses;D2;37,99% a.a.;R$34.000;47;loan_104117;100.0%
BJA ACESSORIOS PARA LOJAS;24 meses;D1;35,28% a.a.;R$40.000;47;loan_104083;100.0%
Fama Veículos ;24 meses;D2;37,99% a.a.;R$100.000;47;loan_103993;100.0%
CRIAR & ARTS;24 meses;B5;20,70% a.a.;R$38.000;47;loan_103910;100.0%
PIONEIRA;24 meses;B6;21,70% a.a.;R$36.000;47;loan_103829;100.0%
Start Energy;24 meses;E1;59,73% a.a.;R$28.000;47;loan_103825;100.0%
Aeromoto;24 meses;D3;41,91% a.a.;R$28.000;47;loan_103759;100.0%
SEROCICLE PECAS E ACESSORIOS;18 meses;E3;63,65% a.a.;R$28.000;47;loan_103675;100.0%
INDEX CONSULT CONTADORES;24 meses;B5;20,70% a.a.;R$158.000;48;loan_103658;100.0%
Musical Silva;24 meses;C1;25,64% a.a.;R$44.000;48;loan_103502;100.0%
SYSPED;24 meses;C2;26,82% a.a.;R$34.000;48;loan_103285;100.0%
COSTA NOVA ASSOCIADOS;18 meses;C3;28,32% a.a.;R$28.000;48;loan_101980;100.0%
Conel uniformes ;18 meses;D3;41,91% a.a.;R$22.000;48;loan_101913;100.0%
ROTACOOP;24 meses;D3;41,91% a.a.;R$98.000;48;loan_101034;100.0%
FLUIDO DA VIDA;18 meses;B5;20,70% a.a.;R$98.000;48;loan_100429;100.0%
PH3A TECNOLOGIA;24 meses;B1;16,90% a.a.;R$318.000;48;loan_103647;100.0%
Scalade Custom's;24 meses;C1;25,64% a.a.;R$28.000;48;loan_103558;100.0%
Ciso Odontologia ;12 meses;C2;26,82% a.a.;R$16.000;48;loan_103929;100.0%
Retalhar Costurando Ideias;9 meses;B6;21,70% a.a.;R$64.000;49;loan_103860;100.0%
Corretora Ayres;24 meses;C1;25,64% a.a.;R$56.000;49;loan_103651;100.0%
Solutio IT;24 meses;B6;21,70% a.a.;R$102.000;49;loan_103552;100.0%
Pronto Telecom;24 meses;D1;35,28% a.a.;R$50.000;49;loan_103492;100.0%
MD Provedor de Acesso a Internet;24 meses;C1;25,64% a.a.;R$114.000;49;loan_103406;100.0%
Bancar Centro Automotivo;24 meses;D2;37,99% a.a.;R$56.000;49;loan_103380;100.0%
Martins Bou Assi;24 meses;B6;21,70% a.a.;R$86.000;49;loan_103322;100.0%
Draggao;24 meses;C2;26,82% a.a.;R$32.000;49;loan_103316;100.0%
Figata Pizza e Birra;24 meses;D2;37,99% a.a.;R$160.000;49;loan_103126;100.0%
Metalcena;24 meses;E2;61,59% a.a.;R$54.000;49;loan_103091;100.0%
Chapéu & CIA;12 meses;D1;35,28% a.a.;R$126.000;50;loan_103045;100.0%
Shawee;24 meses;D1;35,28% a.a.;R$108.000;50;loan_103012;100.0%
TY Boutique;24 meses;B5;20,70% a.a.;R$70.000;50;loan_102768;100.0%
Quantum Medical;15 meses;C1;25,64% a.a.;R$102.000;50;loan_102707;100.0%
Marfin Lab;24 meses;D3;41,91% a.a.;R$26.000;50;loan_102698;100.0%
Global TTI;24 meses;D1;35,28% a.a.;R$110.000;50;loan_102659;100.0%
Paulinho Alinhamentos Auto Centro;24 meses;C3;28,32% a.a.;R$82.000;50;loan_102624;100.0%
Code Studio;24 meses;E2;61,59% a.a.;R$84.000;50;loan_101963;100.0%
Akasa do Açaí;24 meses;C2;26,82% a.a.;R$28.000;50;loan_101857;100.0%
Oficina do Conhecimento;18 meses;E2;61,59% a.a.;R$28.000;50;loan_101249;100.0%
RME Consulting;24 meses;C3;28,32% a.a.;R$22.000;51;loan_101247;100.0%
Guppy;24 meses;D3;41,91% a.a.;R$28.000;51;loan_101225;100.0%
Pastéis Takeda;24 meses;D3;41,91% a.a.;R$56.000;51;loan_100896;100.0%
Escola Actos;24 meses;D3;41,91% a.a.;R$56.000;51;loan_100629;100.0%
Anchieta Motos;24 meses;C3;28,32% a.a.;R$46.000;51;loan_100567;100.0%
Fibravite.com;18 meses;E1;59,73% a.a.;R$32.000;51;loan_100214;100.0%
Solidez Desenvolvimento Urbano;24 meses;D1;35,28% a.a.;R$76.000;51;loan_100174;100.0%
Revivere Centro de Reabilitação Animal;24 meses;D1;35,28% a.a.;R$116.000;51;loan_100137;100.0%
RC Comercio em Geral;9 meses;E2;61,59% a.a.;R$16.000;51;loan_99900;100.0%
Outbound Marketing Consultoria;24 meses;B4;19,70% a.a.;R$166.000;51;loan_98902;100.0%
Unopar;24 meses;C3;28,32% a.a.;R$54.000;52;loan_100466;100.0%
OMNILOGIC;12 meses;B6;21,70% a.a.;R$100.000;52;loan_102339;100.0%
ATIVA SERVICOS ESPECIALIZADOS;24 meses;D3;41,91% a.a.;R$100.000;52;loan_98026;100.0%
Agência Monster;18 meses;D1;35,28% a.a.;R$28.000;52;loan_102695;100.0%
BOXPAG;24 meses;D2;37,99% a.a.;R$56.000;52;loan_102382;100.0%
FX Comercio de Peças Automotivas;24 meses;D1;35,28% a.a.;R$108.000;52;loan_102341;100.0%
Cabana.Work;24 meses;C2;26,82% a.a.;R$28.000;52;loan_102289;100.0%
AW Marketing;24 meses;B6;21,70% a.a.;R$48.000;52;loan_101929;100.0%
Um Café, Por Favor!;24 meses;E2;61,59% a.a.;R$54.000;52;loan_101892;100.0%
Tecnum;18 meses;D1;35,28% a.a.;R$54.000;52;loan_101879;100.0%
Kamicon;24 meses;B6;21,70% a.a.;R$56.000;53;loan_101742;100.0%
Eletron Elevadores;24 meses;D3;41,91% a.a.;R$66.000;53;loan_101431;100.0%
Sothis Tecnologia e Serviços de Telecomunicações;24 meses;B5;20,70% a.a.;R$162.000;53;loan_101238;100.0%
ProjectPlan;24 meses;B5;20,70% a.a.;R$108.000;53;loan_100783;100.0%
Lotici;24 meses;C1;25,64% a.a.;R$264.000;53;loan_100698;100.0%
Plannix Soluções em Software;24 meses;B4;19,70% a.a.;R$94.000;53;loan_100685;100.0%
PromoVer Promoções;24 meses;D1;35,28% a.a.;R$34.000;53;loan_100599;100.0%
Rede Construfort;24 meses;E2;61,59% a.a.;R$34.000;53;loan_100888;100.0%
Vec;15 meses;D3;41,91% a.a.;R$64.000;53;loan_100982;100.0%
Nivelartec;24 meses;B6;21,70% a.a.;R$214.000;53;loan_100901;100.0%
Nely;24 meses;D1;35,28% a.a.;R$60.000;54;loan_96163;100.0%
SSA Sistema de Segurança e Energia Solar;24 meses;E3;63,65% a.a.;R$28.000;54;loan_101957;100.0%
Nicnet Provedor de Internet;24 meses;D2;37,99% a.a.;R$98.000;54;loan_101443;100.0%
Clínica AmorSaúde;24 meses;C3;28,32% a.a.;R$122.000;54;loan_101418;100.0%
Viva;12 meses;B6;21,70% a.a.;R$304.000;54;loan_100130;100.0%
Verticore IT;24 meses;B6;21,70% a.a.;R$106.000;54;loan_100415;100.0%
Peixe Leve;24 meses;C2;26,82% a.a.;R$44.000;54;loan_100400;100.0%
Intermares Trading;6 meses;C1;25,64% a.a.;R$102.000;54;loan_100384;100.0%
Centro Educacional Valesca Galeria;24 meses;C1;25,64% a.a.;R$54.000;54;loan_100286;100.0%
Lealcred Negócios;24 meses;D1;35,28% a.a.;R$52.000;54;loan_100250;100.0%
Coan Contábil ;24 meses;E2;61,59% a.a.;R$22.000;55;loan_100125;100.0%
On Ofices;24 meses;B4;19,70% a.a.;R$164.000;55;loan_100089;100.0%
Mogi Auto Peças;24 meses;D1;35,28% a.a.;R$100.000;55;loan_100079;100.0%
Info Paraná;24 meses;C1;25,64% a.a.;R$76.000;55;loan_99976;100.0%
FDA Educação e Desenvolvimento Pessoal;12 meses;E3;63,65% a.a.;R$32.000;55;loan_99916;100.0%
Evers Representações;24 meses;E1;59,73% a.a.;R$22.000;55;loan_99862;100.0%
Aletria;24 meses;C3;28,32% a.a.;R$38.000;55;loan_99857;100.0%
Golaço Society;24 meses;D2;37,99% a.a.;R$34.000;55;loan_99807;100.0%
MAHA;18 meses;E2;61,59% a.a.;R$18.000;55;loan_99771;100.0%
Bem estar ;12 meses;D3;41,91% a.a.;R$32.000;55;loan_99761;100.0%
Hygge Decor;12 meses;D2;37,99% a.a.;R$26.000;56;loan_99757;100.0%
Grupo BSR;24 meses;C2;26,82% a.a.;R$52.000;56;loan_99745;100.0%
HII Tech Soluções;24 meses;C1;25,64% a.a.;R$28.000;56;loan_99524;100.0%
Esauce Marketing Digital;24 meses;C1;25,64% a.a.;R$82.000;56;loan_99488;100.0%
Web Surf Shop - WSS Brasil;24 meses;D1;35,28% a.a.;R$28.000;56;loan_99404;100.0%
Vila Nova Extintores;24 meses;B6;21,70% a.a.;R$86.000;56;loan_99202;100.0%
NCB Sistemas;24 meses;D1;35,28% a.a.;R$44.000;56;loan_99181;100.0%
Colégio Keppler;24 meses;D1;35,28% a.a.;R$112.000;56;loan_98924;100.0%
Amelia;24 meses;D2;37,99% a.a.;R$56.000;56;loan_98903;100.0%
Uaal Agencia Web;24 meses;C3;28,32% a.a.;R$28.000;56;loan_98548;100.0%
Condor Hotel;24 meses;B5;20,70% a.a.;R$44.000;57;loan_98337;100.0%
Toklar;24 meses;B5;20,70% a.a.;R$218.000;57;loan_98296;100.0%
Be Projeto Aprender;24 meses;D3;41,91% a.a.;R$28.000;57;loan_97721;100.0%
Siga Participações;24 meses;E2;61,59% a.a.;R$56.000;57;loan_95939;100.0%
Lucco Fit;24 meses;B6;21,70% a.a.;R$160.000;57;loan_95679;100.0%
Autenticco;24 meses;C1;25,64% a.a.;R$262.000;57;loan_95050;100.0%
Decora Mais Móveis;12 meses;E2;61,59% a.a.;R$26.000;57;loan_94711;100.0%
Baú da Eletrônica;24 meses;C3;28,32% a.a.;R$214.000;57;loan_80284;100.0%
Helena Cristais;24 meses;C2;26,82% a.a.;R$52.000;57;loan_99313;100.0%
