nome_empresa;prazo;rating;TIR;valor;pagina;codigo_emprestimo;porcentagem
LOL SPORTS BAR;24 meses;C1;25,64% a.a.;R$44.000;4;loan_126643;100.0%
PE DE BRINCADEIRA;12 meses;E2;61,59% a.a.;R$16.000;4;loan_126584;100.0%
TAIS SANTOS CONCEPT;24 meses;D2;37,99% a.a.;R$82.000;4;loan_125756;100.0%
VIVA CONSORCIOS CONTEMPLADOS;24 meses;D2;37,99% a.a.;R$34.000;4;loan_125452;100.0%
MAIS SUCATA;12 meses;B6;21,70% a.a.;R$86.000;4;loan_125351;100.0%
Riomar Trading;24 meses;C3;28,32% a.a.;R$164.000;5;loan_125187;100.0%
Ecopack embalagens;6 meses;B6;21,70% a.a.;R$52.000;5;loan_124817;100.0%
RANCHO COUNTRY;24 meses;D3;41,91% a.a.;R$22.000;5;loan_124370;100.0%
Fasol Aquecedores;24 meses;C2;26,82% a.a.;R$88.000;5;loan_121403;100.0%
KM MODAS;24 meses;D1;35,28% a.a.;R$78.000;5;loan_114316;100.0%
55 EVENTOS;24 meses;D1;35,28% a.a.;R$28.000;5;loan_113373;100.0%
Top Net Brasil;21 meses;D1;35,28% a.a.;R$54.000;5;loan_112010;100.0%
BRASCOACHING;24 meses;C2;26,82% a.a.;R$50.000;5;loan_126158;100.0%
YAMA PUBLICIDADE E EVENTOS;24 meses;B6;21,70% a.a.;R$28.000;5;loan_126047;100.0%
SMC;24 meses;D1;35,28% a.a.;R$90.000;5;loan_126007;100.0%
LinkMarcas Gestão Comercial;24 meses;C2;26,82% a.a.;R$44.000;6;loan_125924;100.0%
SEGFORTE VIGILANCIA E SEGURANCA;24 meses;B5;20,70% a.a.;R$110.000;6;loan_125847;100.0%
SPICY JEANS;24 meses;D3;41,91% a.a.;R$78.000;6;loan_125796;100.0%
MB SERVICOS DE BELEZA;24 meses;E1;59,73% a.a.;R$36.000;6;loan_125494;100.0%
VIEIRA & COUTO COMERCIO E DISTRIBUICAO DE PRODUTOS ALIMENTICIOS LTDA;24 meses;B5;20,70% a.a.;R$328.000;6;loan_125493;100.0%
VAREJAO CENTRAL BOM RETIRO EIRELI;24 meses;D3;41,91% a.a.;R$44.000;6;loan_125359;100.0%
M2X ENGENHARIA;24 meses;C3;28,32% a.a.;R$110.000;6;loan_125282;100.0%
CASA DO DECORADOR;24 meses;D1;35,28% a.a.;R$100.000;6;loan_125241;100.0%
SUPORT TELECOM;18 meses;C2;26,82% a.a.;R$54.000;6;loan_125213;100.0%
R5 SOLUCOES;24 meses;D1;35,28% a.a.;R$22.000;6;loan_125132;100.0%
Munhoz Alves Sociedade Individual de Advocacia;24 meses;D2;37,99% a.a.;R$18.000;7;loan_125042;100.0%
Instituto Apta;24 meses;D3;41,91% a.a.;R$16.000;7;loan_124924;100.0%
MEZAS;24 meses;C2;26,82% a.a.;R$34.000;7;loan_124689;100.0%
SPRAYLINE;12 meses;E1;59,73% a.a.;R$22.000;7;loan_123559;100.0%
UPscale Eventos;24 meses;B6;21,70% a.a.;R$174.000;7;loan_123531;100.0%
TOP FRANCE CENTRO AUTOMOTIVO;12 meses;D3;41,91% a.a.;R$16.000;7;loan_120844;100.0%
ALGICAR VEICULOS;24 meses;D1;35,28% a.a.;R$66.000;7;loan_119218;100.0%
Dasos Gestão Florestal;24 meses;B4;19,70% a.a.;R$328.000;7;loan_125509;100.0%
FIGUS COSMETICOS;24 meses;B3;18,72% a.a.;R$272.000;7;loan_125481;100.0%
OralMed ;12 meses;D3;41,91% a.a.;R$16.000;7;loan_125261;100.0%
NAZCA MARKETING;24 meses;C3;28,32% a.a.;R$84.000;8;loan_125174;100.0%
PAES E DOCES IRMAOS HENRIQUES LTDA;24 meses;D3;41,91% a.a.;R$34.000;8;loan_124906;100.0%
Lotici;24 meses;B4;19,70% a.a.;R$327.000;8;loan_124535;100.0%
WARSOFT BRASIL;24 meses;C1;25,64% a.a.;R$56.000;8;loan_124476;100.0%
Delivery much;24 meses;C2;26,82% a.a.;R$34.000;8;loan_124383;100.0%
DESEJO E AMOR;24 meses;B6;21,70% a.a.;R$44.000;8;loan_124305;100.0%
GOLDEN E PET DAY CARE;24 meses;C1;25,64% a.a.;R$26.000;8;loan_124295;100.0%
CONSTRUWILSON'S;24 meses;D3;41,91% a.a.;R$66.000;8;loan_124046;100.0%
Hansl restaurante;24 meses;B6;21,70% a.a.;R$44.000;8;loan_124028;100.0%
Empresarial Prime ;24 meses;C1;25,64% a.a.;R$56.000;8;loan_123693;100.0%
RIBEIRAO DIESEL BOMBAS INJETORAS LTDA;24 meses;D3;41,91% a.a.;R$88.000;9;loan_123495;100.0%
SUPER TROCA MEIER;24 meses;D1;35,28% a.a.;R$22.000;9;loan_124621;100.0%
Invercenter;12 meses;C3;28,32% a.a.;R$26.000;9;loan_124318;100.0%
TURBO RECAPAGENS;24 meses;B6;21,70% a.a.;R$66.000;9;loan_124179;100.0%
SUPERGEEKS ASA NORTE;24 meses;B6;21,70% a.a.;R$82.000;9;loan_124176;100.0%
FMJ CAFETERIA LTDA;24 meses;E3;63,65% a.a.;R$28.000;9;loan_124056;100.0%
tai marketing;24 meses;B6;21,70% a.a.;R$89.000;9;loan_124003;100.0%
ZITYS DO BRASIL COMERCIO E SERVICOS LTDA;24 meses;C3;28,32% a.a.;R$46.000;9;loan_123993;100.0%
CSX SOLUCOES;24 meses;D1;35,28% a.a.;R$56.000;9;loan_123971;100.0%
Léshed;24 meses;C3;28,32% a.a.;R$34.000;9;loan_123960;100.0%
Infratecsolucoes;18 meses;C3;28,32% a.a.;R$54.000;10;loan_123892;100.0%
HOTEL SAN MICHEL;24 meses;D3;41,91% a.a.;R$56.000;10;loan_123465;100.0%
ALPHA ORGANIZACAO CONTABIL;18 meses;B5;20,70% a.a.;R$54.000;10;loan_123295;100.0%
F S PEREIRA DA ENCARNACAO;18 meses;D3;41,91% a.a.;R$88.000;10;loan_122840;100.0%
DEDETIZADORA PROINSETY E CIA;24 meses;D1;35,28% a.a.;R$52.000;10;loan_122824;100.0%
EMPORIO TEMPO;12 meses;D1;35,28% a.a.;R$26.000;10;loan_122691;100.0%
COLEGIO NOVO IDEAL;24 meses;D3;41,91% a.a.;R$100.000;10;loan_122152;100.0%
RC DOMINIO;24 meses;B5;20,70% a.a.;R$137.000;10;loan_121473;100.0%
COOPEROESTE;18 meses;B2;17,74% a.a.;R$540.000;10;loan_121410;100.0%
Dnetal Esthetic & Health Clinica Odontologica Ltda;12 meses;B6;21,70% a.a.;R$22.000;10;loan_119734;100.0%
auwe;12 meses;B4;19,70% a.a.;R$86.000;11;loan_114580;100.0%
POLIAMINAS;24 meses;B4;19,70% a.a.;R$434.000;11;loan_123437;100.0%
FLORA VERDE;24 meses;C1;25,64% a.a.;R$50.000;11;loan_123390;100.0%
SIM;24 meses;E1;59,73% a.a.;R$22.000;11;loan_123297;100.0%
Alto Vale Limpezas Ltda;6 meses;B4;19,70% a.a.;R$20.000;11;loan_123218;100.0%
JOTTA SOLUCOES EM PORTAS E JANELAS DE ALUMINIO;24 meses;D3;41,91% a.a.;R$34.000;11;loan_123082;100.0%
RCB EMBALAGENS E MATERIAL GRAFICO; 24 meses;D2;37,99% a.a.;R$56.000;11;loan_122795;100.0%
LOUZANO PALLETS;10 meses;D3;41,91% a.a.;R$42.000;11;loan_122711;100.0%
SINGLE NOTE;24 meses;C2;26,82% a.a.;R$66.000;11;loan_122673;100.0%
JOCELI;24 meses;C2;26,82% a.a.;R$88.000;11;loan_122526;100.0%
Casmil;18 meses;B5;20,70% a.a.;R$330.000;12;loan_122452;98.2%
Vale Do Ouro;18 meses;C3;28,32% a.a.;R$110.000;12;loan_122389;100.0%
Plauth Representeçoes Com.;24 meses;D3;41,91% a.a.;R$54.000;12;loan_122326;100.0%
SOLUTION RENT A CAR;24 meses;B6;21,70% a.a.;R$132.000;12;loan_122084;100.0%
LEO MODAS;24 meses;E1;59,73% a.a.;R$34.000;12;loan_121807;100.0%
CASA DO ROADIE;24 meses;B6;21,70% a.a.;R$56.000;12;loan_121624;100.0%
SUPERMERCADO COMPRAKI;24 meses;B5;20,70% a.a.;R$164.000;12;loan_121374;100.0%
3MBROKERS;24 meses;C2;26,82% a.a.;R$154.000;12;loan_121363;100.0%
COMERCIAL BENA;24 meses;D3;41,91% a.a.;R$50.000;12;loan_121354;100.0%
WEL FORD;24 meses;B6;21,70% a.a.;R$110.000;12;loan_121338;100.0%
STILOINOX CHURRASQUEIRAS;24 meses;D1;35,28% a.a.;R$78.000;13;loan_120998;100.0%
Edge Brasil;12 meses;C1;25,64% a.a.;R$54.000;13;loan_120810;100.0%
STUDIO CORPO E MENTE;24 meses;D3;41,91% a.a.;R$88.000;13;loan_120522;100.0%
JPB;24 meses;E2;61,59% a.a.;R$34.000;13;loan_120414;100.0%
AQUA SPACE;24 meses;B6;21,70% a.a.;R$108.000;13;loan_120197;100.0%
Não+Pelo;24 meses;C3;28,32% a.a.;R$56.000;13;loan_120103;100.0%
Orion Telecon;24 meses;D2;37,99% a.a.;R$44.000;13;loan_119771;100.0%
Bangues Comércio e Representações;12 meses;E1;59,73% a.a.;R$54.000;13;loan_118390;100.0%
Sacolão 120;24 meses;D1;35,28% a.a.;R$54.000;13;loan_117973;100.0%
FARMACIA DO POVO TRABALHADOR;24 meses;D2;37,99% a.a.;R$28.000;13;loan_117189;100.0%
ACESSUS SEGURANCA;24 meses;C2;26,82% a.a.;R$56.000;14;loan_116700;100.0%
Iprint soluções;24 meses;C3;28,32% a.a.;R$44.000;14;loan_18036;100.0%
WANDERSON RODRIGUES MARTINS;24 meses;B4;19,70% a.a.;R$98.000;14;loan_120842;100.0%
MENSAGEIROS DA PAZ ;24 meses;B5;20,70% a.a.;R$126.000;14;loan_121401;100.0%
INTERMEDIUM EMPREENDIMENTOS E PARTICIPACOES LTDA;24 meses;C3;28,32% a.a.;R$56.000;14;loan_121331;100.0%
TOPI CLOUD SERVICES TOP INFORMATION;24 meses;B3;18,72% a.a.;R$326.000;14;loan_121168;100.0%
ECE Ferramentas ;12 meses;C2;26,82% a.a.;R$106.000;14;loan_121154;100.0%
MADE IN BRAZIL COMERCIAL E IMPORTADORA;24 meses;B2;17,74% a.a.;R$314.000;14;loan_120946;100.0%
Porto e Coelho;24 meses;D3;41,91% a.a.;R$100.000;14;loan_120712;100.0%
CASAMETAL;18 meses;D1;35,28% a.a.;R$16.000;14;loan_120476;100.0%
CARROS AUTOCENTER;24 meses;B6;21,70% a.a.;R$56.000;15;loan_120475;100.0%
AUROCHS COUNTRY ORIGINS;24 meses;E1;59,73% a.a.;R$34.000;15;loan_120082;100.0%
PET BRASIL;24 meses;D1;35,28% a.a.;R$34.000;15;loan_120072;100.0%
Transportadora Guedes;24 meses;D3;41,91% a.a.;R$82.000;15;loan_120058;100.0%
SLCOMM;24 meses;C3;28,32% a.a.;R$110.000;15;loan_119390;100.0%
WORKOUT FITNESS;24 meses;D1;35,28% a.a.;R$28.000;15;loan_119249;100.0%
Assuero Auto Peças;24 meses;E2;61,59% a.a.;R$56.000;15;loan_118041;100.0%
INFOVALE - TELECOM;24 meses;B6;21,70% a.a.;R$328.000;15;loan_108355;100.0%
Duo Sobremesas;24 meses;C3;28,32% a.a.;R$220.000;15;loan_100442;100.0%
Pillar Administradora de Condominios;18 meses;D3;41,91% a.a.;R$56.000;15;loan_120638;100.0%
METALURGICA JANUTT;24 meses;C1;25,64% a.a.;R$176.000;16;loan_120799;100.0%
ALVAFLEX;24 meses;D2;37,99% a.a.;R$56.000;16;loan_120699;100.0%
INCONT INTELIGENCIA CONTABIL;24 meses;D1;35,28% a.a.;R$56.000;16;loan_120617;100.0%
LACCHIGAS E CONVENIENCIAS;24 meses;C1;25,64% a.a.;R$110.000;16;loan_120491;100.0%
Arine;18 meses;D1;35,28% a.a.;R$54.000;16;loan_120215;100.0%
4SUCCESS - TREINAMENTOS E CONSULTORIA;24 meses;D3;41,91% a.a.;R$28.000;16;loan_119938;100.0%
Zematec;24 meses;C1;25,64% a.a.;R$34.000;16;loan_119920;100.0%
ANIMALERIE;24 meses;B6;21,70% a.a.;R$28.000;16;loan_119881;100.0%
JPG OFFSHORE;24 meses;B6;21,70% a.a.;R$142.000;16;loan_119768;100.0%
SELECTION;24 meses;D1;35,28% a.a.;R$110.000;16;loan_119142;100.0%
Lorrane Fernandes de Sena Rocha;24 meses;C3;28,32% a.a.;R$34.000;17;loan_118930;100.0%
BOINA PRETA;24 meses;E2;61,59% a.a.;R$34.000;17;loan_118070;100.0%
TALENTOS & EVENTOS;12 meses;D3;41,91% a.a.;R$28.000;17;loan_112626;100.0%
Beatnik & Sons;18 meses;B6;21,70% a.a.;R$70.000;17;loan_110279;100.0%
Hotel do Ildo;24 meses;B5;20,70% a.a.;R$164.000;17;loan_91042;100.0%
CONAZA AUTO PECAS E SERVICOS;24 meses;C1;25,64% a.a.;R$56.000;17;loan_119336;100.0%
Cervejaria 2 IRMAOS;24 meses;D2;37,99% a.a.;R$34.000;17;loan_119331;100.0%
ART FERRO;24 meses;D3;41,91% a.a.;R$54.000;17;loan_119190;100.0%
Desdobra - Design do Brasil;24 meses;C1;25,64% a.a.;R$28.000;17;loan_119119;100.0%
CLINICA VETERINARIA SANTA HELENA;24 meses;D3;41,91% a.a.;R$90.000;17;loan_119099;100.0%
TRULY MOLEN;24 meses;B6;21,70% a.a.;R$28.000;18;loan_119096;100.0%
ALEK ;24 meses;C1;25,64% a.a.;R$56.000;18;loan_118871;100.0%
REFEICENTER;24 meses;B6;21,70% a.a.;R$220.000;18;loan_118861;100.0%
INOVAR COBRANCA;24 meses;B4;19,70% a.a.;R$108.000;18;loan_118860;100.0%
BODY HALL ACADEMIA;24 meses;D3;41,91% a.a.;R$56.000;18;loan_118833;100.0%
