nome_empresa;prazo;rating;TIR;valor;pagina;codigo_emprestimo;porcentagem;codigo_emprestimo_num
Eficiency servicos administrativos eirelli;12 meses;D1;35,28% a.a.;R$54.000;26;loan_114715;100.0%;114715
ACAZ SOLUCOES INTEGRADAS EM INFRAESTRUTURA DE REDE;10 meses;B5;20,70% a.a.;R$54.000;26;loan_114690;100.0%;114690
HP Eletricidade;24 meses;C2;26,82% a.a.;R$76.000;27;loan_114684;100.0%;114684
STARSOFT BRASIL;24 meses;B3;18,72% a.a.;R$196.000;27;loan_114647;100.0%;114647
CONCEITO TELECOMUNICACOES E INFORMATICA;24 meses;D3;41,91% a.a.;R$28.000;27;loan_114630;100.0%;114630
ntw contabilidade;24 meses;D1;35,28% a.a.;R$56.000;27;loan_114584;100.0%;114584
Amart;18 meses;C1;25,64% a.a.;R$184.000;27;loan_114581;100.0%;114581
UW Informática;24 meses;C2;26,82% a.a.;R$142.000;27;loan_114578;100.0%;114578
DFC SERVICOS;24 meses;D3;41,91% a.a.;R$34.000;27;loan_114564;100.0%;114564
KUMULUS SERVICOS EM CLOUD COMPUTING E DATABASE;24 meses;B2;17,74% a.a.;R$108.000;27;loan_114456;100.0%;114456
PONTOCELL multimarcas;24 meses;D3;41,91% a.a.;R$56.000;27;loan_114291;100.0%;114291
DELBOM;24 meses;B6;21,70% a.a.;R$328.000;27;loan_113454;100.0%;113454
ACQUAPRO;24 meses;D1;35,28% a.a.;R$52.000;28;loan_113158;100.0%;113158
AFX;24 meses;C3;28,32% a.a.;R$50.000;28;loan_105454;100.0%;105454
SPEEDNET;24 meses;C2;26,82% a.a.;R$52.000;28;loan_101774;100.0%;101774
DESPACHANTES 2 IRMÃOS;18 meses;C3;28,32% a.a.;R$54.000;28;loan_71499;100.0%;71499
ENGENHARIA SOLUTIONS;24 meses;B4;19,70% a.a.;R$98.000;28;loan_114232;100.0%;114232
Duo Gelatto;24 meses;C3;28,32% a.a.;R$328.000;28;loan_114144;100.0%;114144
Aureon;24 meses;B5;20,70% a.a.;R$176.000;28;loan_113997;100.0%;113997
SIAROM STORE;24 meses;D3;41,91% a.a.;R$44.000;28;loan_113872;100.0%;113872
ARKHI TECNOLOGIA;12 meses;D3;41,91% a.a.;R$28.000;28;loan_113810;100.0%;113810
SANTA BIRRA;24 meses;B5;20,70% a.a.;R$88.000;28;loan_113605;100.0%;113605
Ponto Forte Móveis.;24 meses;D2;37,99% a.a.;R$38.000;29;loan_113369;100.0%;113369
AHTRAM;24 meses;E1;59,73% a.a.;R$28.000;29;loan_113082;100.0%;113082
DROGAMED;24 meses;C3;28,32% a.a.;R$142.000;29;loan_112703;100.0%;112703
Artrade Brasil;24 meses;D3;41,91% a.a.;R$54.000;29;loan_112494;100.0%;112494
SOPRAR;24 meses;D3;41,91% a.a.;R$34.000;29;loan_112311;100.0%;112311
CERVEJARIA PEIXOTO;24 meses;D1;35,28% a.a.;R$78.000;29;loan_112056;100.0%;112056
DIAGONAL SERVICOS;24 meses;B5;20,70% a.a.;R$88.000;29;loan_109024;100.0%;109024
ELEVA FORMATURAS;24 meses;B6;21,70% a.a.;R$220.000;29;loan_108298;100.0%;108298
FASE;24 meses;B4;19,70% a.a.;R$218.000;29;loan_106820;100.0%;106820
AF Fachadas;24 meses;D3;41,91% a.a.;R$110.000;29;loan_105681;100.0%;105681
SOBRANCELHAS DESIGN BOULEVARD;24 meses;D1;35,28% a.a.;R$48.000;30;loan_104335;100.0%;104335
FRATELLI HOUSE;24 meses;C1;25,64% a.a.;R$88.000;30;loan_102387;100.0%;102387
GERMAN-TEC;12 meses;C1;25,64% a.a.;R$54.000;30;loan_112412;100.0%;112412
LOCADADOS DATA SOLUTIONS;24 meses;B1;16,90% a.a.;R$108.000;30;loan_112403;100.0%;112403
IBIRAU MANEJO AGROFLORESTAL;21 meses;C2;26,82% a.a.;R$54.000;30;loan_112393;100.0%;112393
ITTE;24 meses;B6;21,70% a.a.;R$174.000;30;loan_112383;100.0%;112383
ALVES E PEREIRA COMERCIO DE PRODUTOS AGROPECUARIOS LTDA;24 meses;D3;41,91% a.a.;R$34.000;30;loan_112248;100.0%;112248
PARAISO AGRONEGOCIOS;12 meses;C1;25,64% a.a.;R$64.000;30;loan_112086;100.0%;112086
AGROTOP;24 meses;D1;35,28% a.a.;R$34.000;30;loan_111980;100.0%;111980
AES SERVICOS E COMERCIO;12 meses;D3;41,91% a.a.;R$26.000;30;loan_111945;100.0%;111945
RDC TELEFONIA;18 meses;D1;35,28% a.a.;R$72.000;31;loan_111691;100.0%;111691
Controlart;24 meses;B6;21,70% a.a.;R$54.000;31;loan_110723;100.0%;110723
Cativo Distribuidora;24 meses;B2;17,74% a.a.;R$324.000;31;loan_110184;100.0%;110184
ISENSE COMUNICACAO LTDA;24 meses;D3;41,91% a.a.;R$32.000;31;loan_109833;100.0%;109833
Pattoli Mobiliário Corporativo ;24 meses;D3;41,91% a.a.;R$56.000;31;loan_109090;100.0%;109090
Cannelle Doces Especiais;24 meses;B5;20,70% a.a.;R$92.000;31;loan_80694;100.0%;80694
LUDENRIQUE CAMPOS FREIRE - ME;18 meses;D2;37,99% a.a.;R$34.000;31;loan_16837;100.0%;16837
REMO FENUT CAMISEIRO ;24 meses;C1;25,64% a.a.;R$274.000;31;loan_111882;100.0%;111882
Dryclean usa - blue center;24 meses;C1;25,64% a.a.;R$44.000;31;loan_111814;100.0%;111814
AZMT;24 meses;B6;21,70% a.a.;R$34.000;31;loan_111687;100.0%;111687
Maximum Security Sistemas de Monitoramento;21 meses;B5;20,70% a.a.;R$54.000;32;loan_111441;100.0%;111441
HITS FM;24 meses;C3;28,32% a.a.;R$44.000;32;loan_111414;100.0%;111414
Alimand Alimentação para Empresas;24 meses;B3;22,42% a.a.;R$110.000;159;loan_11356;100.0%;11356
MOURA & MOURA SERVICOS MEDICOS LTDA;24 meses;C3;28,32% a.a.;R$50.000;32;loan_110681;100.0%;110681
ERP Plus;24 meses;B5;20,70% a.a.;R$214.000;32;loan_110535;100.0%;110535
MERCADO ITALIA;21 meses;D3;41,91% a.a.;R$54.000;32;loan_110452;100.0%;110452
Carvão Rio Minas;24 meses;D2;37,99% a.a.;R$66.000;32;loan_109986;100.0%;109986
YEI TEMAKERIA E SUSHI BAR;21 meses;C2;26,82% a.a.;R$44.000;32;loan_109820;100.0%;109820
CONSULTA MAIS;24 meses;D1;35,28% a.a.;R$28.000;32;loan_109690;100.0%;109690
Nevianisports;18 meses;D1;35,28% a.a.;R$34.000;32;loan_109511;100.0%;109511
VIVA SAUDE CARD;15 meses;D3;41,91% a.a.;R$26.000;33;loan_109173;100.0%;109173
Laticinios Sgorla;24 meses;B3;18,72% a.a.;R$218.000;33;loan_109053;100.0%;109053
AMBROSIO - COZINHA ORGANICA E CAFE;24 meses;B3;18,72% a.a.;R$54.000;33;loan_108927;100.0%;108927
BANANA GRUPO FORMOSO;24 meses;E2;61,59% a.a.;R$54.000;33;loan_106230;100.0%;106230
HL SERVICOS PREDIAIS;12 meses;D3;41,91% a.a.;R$34.000;33;loan_105647;100.0%;105647
LAUDOMOVEL;24 meses;D1;35,28% a.a.;R$54.000;33;loan_104069;100.0%;104069
WALMAR CONTABILIDADE;24 meses;D3;41,91% a.a.;R$66.000;33;loan_102727;100.0%;102727
TUTTIQ GAMING;24 meses;E1;59,73% a.a.;R$54.000;33;loan_111124;100.0%;111124
LLOJA ;24 meses;D1;35,28% a.a.;R$88.000;33;loan_110882;100.0%;110882
UNITECMA;24 meses;D2;37,99% a.a.;R$28.000;33;loan_110819;100.0%;110819
GVD Consultoria em Saneamento;24 meses;B6;21,70% a.a.;R$56.000;34;loan_110536;100.0%;110536
MERCADINHO SANTA ISABEL;12 meses;D3;41,91% a.a.;R$32.000;34;loan_110251;100.0%;110251
JDR Projetos e Componentes;24 meses;D3;41,91% a.a.;R$58.000;34;loan_110230;100.0%;110230
COWORKING TOWN;24 meses;D3;41,91% a.a.;R$28.000;34;loan_110185;100.0%;110185
MOCA BONITA;18 meses;D1;35,28% a.a.;R$22.000;34;loan_110179;100.0%;110179
Mako´s Poke;24 meses;C2;26,82% a.a.;R$66.000;34;loan_110074;100.0%;110074
LABRUNA MATERIAIS PARA CONSTRUCAO;24 meses;C3;28,32% a.a.;R$44.000;34;loan_109684;100.0%;109684
CONSULTORIA FERREIRA;24 meses;C2;26,82% a.a.;R$88.000;34;loan_109525;100.0%;109525
RODO RAIO LOGISTICA;24 meses;B6;21,70% a.a.;R$90.000;34;loan_109440;100.0%;109440
Levvo;24 meses;B4;19,70% a.a.;R$544.000;34;loan_109436;100.0%;109436
EMPODERE-SE;24 meses;B5;20,70% a.a.;R$50.000;35;loan_109386;100.0%;109386
COAN CONTABIL;24 meses;B5;20,70% a.a.;R$38.000;35;loan_109104;100.0%;109104
VAICARD;24 meses;C1;25,64% a.a.;R$66.000;35;loan_109102;100.0%;109102
Da Matta;24 meses;D2;37,99% a.a.;R$28.000;35;loan_109043;100.0%;109043
Campos Incorporadora;24 meses;D3;41,91% a.a.;R$34.000;35;loan_108616;100.0%;108616
LOTERIA APOENA;24 meses;D3;41,91% a.a.;R$36.000;35;loan_108444;100.0%;108444
PRIME LUB;24 meses;B6;21,70% a.a.;R$68.000;35;loan_108364;100.0%;108364
2Press gráfica e comunicação visual ;24 meses;B5;20,70% a.a.;R$110.000;35;loan_108208;100.0%;108208
FM - CELULARES;24 meses;D2;37,99% a.a.;R$34.000;35;loan_107818;100.0%;107818
ARENA FACTUS CONTABILIDADE EIRELI - ME;24 meses;B4;19,70% a.a.;R$110.000;35;loan_105977;100.0%;105977
PROCABOS BRASIL TELECOM LTDA;24 meses;B6;21,70% a.a.;R$66.000;36;loan_104704;100.0%;104704
INOVARE LABORATORIO DE PROTESE ODONTOLOGICA;18 meses;C3;28,32% a.a.;R$28.000;36;loan_104338;100.0%;104338
CallConsult;24 meses;D1;35,28% a.a.;R$110.000;36;loan_92876;100.0%;92876
O Atelier;24 meses;B4;19,70% a.a.;R$54.000;36;loan_109918;100.0%;109918
GPS DELICIAS;18 meses;C3;28,32% a.a.;R$28.000;36;loan_109636;100.0%;109636
Equipe B Arquitetura;24 meses;B4;19,70% a.a.;R$34.000;36;loan_108642;100.0%;108642
GRUPO OPEN BAR BRASIL;24 meses;C3;28,32% a.a.;R$28.000;36;loan_108618;100.0%;108618
COBERCHAPAS;24 meses;B6;21,70% a.a.;R$220.000;36;loan_108586;100.0%;108586
MAXXYNPRESS GRAFICA DIGITAL LTDA;24 meses;D1;35,28% a.a.;R$44.000;36;loan_108068;100.0%;108068
RAPARIGA;24 meses;D3;41,91% a.a.;R$28.000;36;loan_107756;100.0%;107756
MONSTERS INK;24 meses;D1;35,28% a.a.;R$54.000;37;loan_107647;100.0%;107647
EASS Serviços de Informatica Ltda;24 meses;D1;35,28% a.a.;R$28.000;37;loan_107575;100.0%;107575
FAGNER FELICIANO COSTA & CIA LTDA;24 meses;D3;41,91% a.a.;R$34.000;37;loan_107381;100.0%;107381
TRINK BIER;24 meses;D2;37,99% a.a.;R$88.000;37;loan_107241;100.0%;107241
UB Automação;24 meses;B6;21,70% a.a.;R$88.000;37;loan_106686;100.0%;106686
P. R. GOURMET EVENTOS;10 meses;B6;21,70% a.a.;R$52.000;37;loan_106280;100.0%;106280
churrascaria e hotel boi na brasa;24 meses;E3;63,65% a.a.;R$28.000;37;loan_106137;100.0%;106137
PHDL ARTESAO EM METAIS;24 meses;E3;63,65% a.a.;R$34.000;37;loan_106060;100.0%;106060
Apx maquinas;24 meses;D1;35,28% a.a.;R$28.000;37;loan_106052;100.0%;106052
Last Cell Telecom;24 meses;D3;41,91% a.a.;R$28.000;37;loan_105972;100.0%;105972
Sapataria do Futuro;24 meses;B5;20,70% a.a.;R$16.000;38;loan_105886;100.0%;105886
CEFK - COMPANY;24 meses;D1;35,28% a.a.;R$66.000;38;loan_105799;100.0%;105799
AMAZONIA ADVENTURE;24 meses;C1;25,64% a.a.;R$40.000;38;loan_105565;100.0%;105565
TERRA AMAZON CONSTRUTORA LTDA;24 meses;D2;37,99% a.a.;R$28.000;38;loan_105460;100.0%;105460
DRA VILMA IMOVEIS;24 meses;D1;35,28% a.a.;R$54.000;38;loan_105319;100.0%;105319
DISTRIBUIDORA J&M PAPELARIA;24 meses;D1;35,28% a.a.;R$100.000;38;loan_105268;100.0%;105268
Bela Vitta;24 meses;E1;59,73% a.a.;R$28.000;38;loan_104941;100.0%;104941
RTA REMOCOES EIRELI;24 meses;D3;41,91% a.a.;R$28.000;38;loan_103519;100.0%;103519
TRUE ACAI;24 meses;B6;21,70% a.a.;R$216.000;38;loan_108112;100.0%;108112
TR DREAM TELECOM;12 meses;B5;20,70% a.a.;R$26.000;38;loan_107830;100.0%;107830
ARMAZÉM 2000;18 meses;C2;26,82% a.a.;R$164.000;39;loan_107702;100.0%;107702
TOTAL FACILITIES SERVICES;24 meses;C2;26,82% a.a.;R$28.000;39;loan_107648;100.0%;107648
JL TELECOM;24 meses;D3;41,91% a.a.;R$22.000;39;loan_107585;100.0%;107585
SYSPRO SERVIÇOS E SOLUÇÕES;24 meses;B6;21,70% a.a.;R$44.000;39;loan_107581;100.0%;107581
ABC SERVIÇOS;24 meses;B5;20,70% a.a.;R$104.000;39;loan_107568;100.0%;107568
EMPÓRIO DO AÇO VIX;24 meses;C3;28,32% a.a.;R$44.000;39;loan_107456;100.0%;107456
SKINÃO MOTOS;24 meses;D1;35,28% a.a.;R$44.000;39;loan_107357;100.0%;107357
GLAMIR;24 meses;B6;21,70% a.a.;R$220.000;39;loan_107342;100.0%;107342
SHERBIMET;24 meses;D1;35,28% a.a.;R$54.000;39;loan_107229;100.0%;107229
CH DO BRASIL;24 meses;E3;63,65% a.a.;R$22.000;39;loan_107205;100.0%;107205
PRO SOLUTION SERVICOS DE ENGENHARIA;12 meses;D3;41,91% a.a.;R$28.000;40;loan_107164;100.0%;107164
NEO ODONTOLOGIA;24 meses;D3;41,91% a.a.;R$28.000;40;loan_107142;100.0%;107142
PHIPER;24 meses;D3;41,91% a.a.;R$44.000;40;loan_107129;100.0%;107129
VOGAL;12 meses;B6;21,70% a.a.;R$32.000;40;loan_106942;100.0%;106942
STRATEGY MKT;24 meses;D1;35,28% a.a.;R$66.000;40;loan_106785;100.0%;106785
VERTICORE CONTABILIDADE E CONTROLADORIA;24 meses;B4;19,70% a.a.;R$270.000;40;loan_106447;100.0%;106447
GYROSTRUCK;24 meses;D1;35,28% a.a.;R$28.000;40;loan_106413;100.0%;106413
I2R ARARAS CONSULTORIA;24 meses;C1;25,64% a.a.;R$88.000;40;loan_106360;100.0%;106360
VOEX TELECOM;24 meses;D1;35,28% a.a.;R$44.000;40;loan_105769;100.0%;105769
3G QB CURSOS E CONCURSOS;24 meses;D2;37,99% a.a.;R$28.000;40;loan_105711;100.0%;105711
JAGUAR INSTRUMENTOS MUSICAIS;24 meses;D3;41,91% a.a.;R$76.000;41;loan_105649;100.0%;105649
SASSATANI;24 meses;D1;35,28% a.a.;R$66.000;41;loan_105412;100.0%;105412
NAWA AÇAI;18 meses;C2;26,82% a.a.;R$54.000;41;loan_105206;100.0%;105206
OAKBERRY CIDADE JARDIM;12 meses;D1;35,28% a.a.;R$34.000;41;loan_105129;100.0%;105129
VR MONTAGEM DE MÓVEIS;24 meses;B5;20,70% a.a.;R$256.000;41;loan_104751;100.0%;104751
SALLA BELA;24 meses;C3;28,32% a.a.;R$50.000;41;loan_104603;100.0%;104603
LOJA DA ZUANIR;24 meses;D1;35,28% a.a.;R$96.000;41;loan_104497;100.0%;104497
BARTS MONTAGENS;6 meses;D3;41,91% a.a.;R$26.000;41;loan_104318;100.0%;104318
Acoplast Brasil;18 meses;B5;20,70% a.a.;R$160.000;41;loan_106865;100.0%;106865
AMMER;18 meses;D1;35,28% a.a.;R$104.000;41;loan_106118;100.0%;106118
MEGA ACAI;24 meses;C3;28,32% a.a.;R$108.000;42;loan_106099;100.0%;106099
Odonto Palladium ;24 meses;D3;41,91% a.a.;R$74.000;42;loan_106049;100.0%;106049
MEDICAL SHOP;24 meses;C1;25,64% a.a.;R$16.000;42;loan_105992;100.0%;105992
PIMENTA;24 meses;D3;41,91% a.a.;R$54.000;42;loan_105792;100.0%;105792
CS SERVICOS;18 meses;B6;21,70% a.a.;R$44.000;42;loan_105640;100.0%;105640
PIPARADISE;24 meses;C2;26,82% a.a.;R$52.000;42;loan_104927;100.0%;104927
MERCADO AVENIDA;24 meses;E3;63,65% a.a.;R$54.000;42;loan_104431;100.0%;104431
SNACK;6 meses;B3;18,72% a.a.;R$154.000;42;loan_104313;100.0%;104313
IFAP;24 meses;E3;63,65% a.a.;R$34.000;42;loan_102754;100.0%;102754
DBJ Software e Tecnologia;24 meses;D3;41,91% a.a.;R$24.000;42;loan_69046;100.0%;69046
2I HEALTH CARE;24 meses;B5;20,70% a.a.;R$100.000;43;loan_106129;100.0%;106129
TIME COMUNICACAO;24 meses;B6;21,70% a.a.;R$46.000;43;loan_105942;100.0%;105942
MARIAGE DECORAÇÕES;24 meses;E3;63,65% a.a.;R$54.000;43;loan_105863;100.0%;105863
FÁBRICA DE APLICATIVOS;24 meses;B2;17,74% a.a.;R$208.000;43;loan_105646;100.0%;105646
AGÊNCIA LAB;24 meses;B4;19,70% a.a.;R$30.000;43;loan_105579;100.0%;105579
LIKE ME;12 meses;E2;61,59% a.a.;R$34.000;43;loan_105327;100.0%;105327
MICROLINK INFORMATICA;24 meses;B5;20,70% a.a.;R$66.000;43;loan_105325;100.0%;105325
KM ONLINE;24 meses;D3;41,91% a.a.;R$22.000;43;loan_105280;100.0%;105280
PONTO ONLINE MARKETING DIGITAL;24 meses;B6;21,70% a.a.;R$46.000;43;loan_105197;100.0%;105197
FLYTTE TURISMO;12 meses;D1;35,28% a.a.;R$34.000;43;loan_105158;100.0%;105158
EMBALE EMBALAGENS E PAPELARIA;24 meses;B5;20,70% a.a.;R$154.000;44;loan_105130;100.0%;105130
MASTER PERSONALIZACAO E DRY FIT;12 meses;D1;35,28% a.a.;R$22.000;44;loan_104980;100.0%;104980
PARRILLA TIERRA DEL FUEGO;24 meses;E3;63,65% a.a.;R$28.000;44;loan_104922;100.0%;104922
SANTA PANELA;12 meses;C3;28,32% a.a.;R$16.000;44;loan_104802;100.0%;104802
RECREACAO INFANTIL PATOTINHA FELIZ;24 meses;D3;41,91% a.a.;R$16.000;44;loan_104783;100.0%;104783
WE SUSTENTABILIDADE;24 meses;C1;25,64% a.a.;R$42.000;44;loan_104776;100.0%;104776
Area Sports;18 meses;B6;21,70% a.a.;R$50.000;44;loan_104748;100.0%;104748
R. G. CONSULTORIA CONTABIL;24 meses;C2;26,82% a.a.;R$50.000;44;loan_104723;100.0%;104723
MINEIRO DELIVERY;24 meses;E1;59,73% a.a.;R$34.000;44;loan_104676;100.0%;104676
FCD ASSESSORIA CONTABIL;24 meses;B6;21,70% a.a.;R$38.000;44;loan_104645;100.0%;104645
AUTO REAL MULTIMARCAS;24 meses;D3;41,91% a.a.;R$98.000;45;loan_104198;100.0%;104198
WRAPPY;18 meses;D1;35,28% a.a.;R$42.000;45;loan_104133;100.0%;104133
MINERACAO COSTA;24 meses;D3;41,91% a.a.;R$56.000;45;loan_104068;100.0%;104068
V'LOZ SPORTSWEAR;24 meses;C3;28,32% a.a.;R$38.000;45;loan_103072;100.0%;103072
GCONSULT;24 meses;D2;37,99% a.a.;R$26.000;45;loan_102885;100.0%;102885
Siptalks;24 meses;D3;41,91% a.a.;R$98.000;45;loan_99158;100.0%;99158
Nattrip Agência de Turismo;18 meses;B6;21,70% a.a.;R$48.000;45;loan_96534;100.0%;96534
DCI;24 meses;B6;21,70% a.a.;R$94.000;45;loan_95948;100.0%;95948
CHEZ PAULINE - CASA DE CULTURA;24 meses;D1;35,28% a.a.;R$24.000;45;loan_91870;100.0%;91870
PH3A TECNOLOGIA;24 meses;B1;16,90% a.a.;R$330.000;45;loan_105239;100.0%;105239
SANTOS LANGUAGE CENTER;24 meses;D3;41,91% a.a.;R$34.000;46;loan_104775;100.0%;104775
KNN IDIOMAS;24 meses;D3;41,91% a.a.;R$34.000;46;loan_104473;100.0%;104473
HC SERVICOS DE COBRANCAS;24 meses;B6;21,70% a.a.;R$150.000;46;loan_104455;100.0%;104455
L.A. CONTAB;24 meses;B6;21,70% a.a.;R$102.000;46;loan_104354;100.0%;104354
SP ZOOM - Serviços em Multimídia;24 meses;C1;25,64% a.a.;R$44.000;46;loan_104336;100.0%;104336
VITA HOUSE;24 meses;D1;35,28% a.a.;R$36.000;46;loan_104298;100.0%;104298
NUNES ACADEMIA;24 meses;C3;28,32% a.a.;R$34.000;46;loan_104242;100.0%;104242
JJ DESIGN EMBALAGENS;18 meses;D3;41,91% a.a.;R$36.000;46;loan_104194;100.0%;104194
Barbearia Dom Fidalgo;24 meses;D1;35,28% a.a.;R$34.000;46;loan_104193;100.0%;104193
Angiomédica;24 meses;D2;37,99% a.a.;R$110.000;46;loan_104155;100.0%;104155
4 A VEICULOS;24 meses;D1;35,28% a.a.;R$110.000;47;loan_104120;100.0%;104120
MAKE IT SIMPLE;24 meses;B3;18,72% a.a.;R$308.000;47;loan_104119;100.0%;104119
KS MATERIAIS DIDATICOS PARA ENSINO DE IDIOMAS;24 meses;D2;37,99% a.a.;R$34.000;47;loan_104117;100.0%;104117
BJA ACESSORIOS PARA LOJAS;24 meses;D1;35,28% a.a.;R$40.000;47;loan_104083;100.0%;104083
Fama Veículos ;24 meses;D2;37,99% a.a.;R$100.000;47;loan_103993;100.0%;103993
CRIAR & ARTS;24 meses;B5;20,70% a.a.;R$38.000;47;loan_103910;100.0%;103910
PIONEIRA;24 meses;B6;21,70% a.a.;R$36.000;47;loan_103829;100.0%;103829
Start Energy;24 meses;E1;59,73% a.a.;R$28.000;47;loan_103825;100.0%;103825
Aeromoto;24 meses;D3;41,91% a.a.;R$28.000;47;loan_103759;100.0%;103759
SEROCICLE PECAS E ACESSORIOS;18 meses;E3;63,65% a.a.;R$28.000;47;loan_103675;100.0%;103675
INDEX CONSULT CONTADORES;24 meses;B5;20,70% a.a.;R$158.000;48;loan_103658;100.0%;103658
Musical Silva;24 meses;C1;25,64% a.a.;R$44.000;48;loan_103502;100.0%;103502
SYSPED;24 meses;C2;26,82% a.a.;R$34.000;48;loan_103285;100.0%;103285
COSTA NOVA ASSOCIADOS;18 meses;C3;28,32% a.a.;R$28.000;48;loan_101980;100.0%;101980
Conel uniformes ;18 meses;D3;41,91% a.a.;R$22.000;48;loan_101913;100.0%;101913
ROTACOOP;24 meses;D3;41,91% a.a.;R$98.000;48;loan_101034;100.0%;101034
FLUIDO DA VIDA;18 meses;B5;20,70% a.a.;R$98.000;48;loan_100429;100.0%;100429
PH3A TECNOLOGIA;24 meses;B1;16,90% a.a.;R$318.000;48;loan_103647;100.0%;103647
Scalade Custom's;24 meses;C1;25,64% a.a.;R$28.000;48;loan_103558;100.0%;103558
Ciso Odontologia ;12 meses;C2;26,82% a.a.;R$16.000;48;loan_103929;100.0%;103929
Retalhar Costurando Ideias;9 meses;B6;21,70% a.a.;R$64.000;49;loan_103860;100.0%;103860
Corretora Ayres;24 meses;C1;25,64% a.a.;R$56.000;49;loan_103651;100.0%;103651
Solutio IT;24 meses;B6;21,70% a.a.;R$102.000;49;loan_103552;100.0%;103552
Pronto Telecom;24 meses;D1;35,28% a.a.;R$50.000;49;loan_103492;100.0%;103492
MD Provedor de Acesso a Internet;24 meses;C1;25,64% a.a.;R$114.000;49;loan_103406;100.0%;103406
Bancar Centro Automotivo;24 meses;D2;37,99% a.a.;R$56.000;49;loan_103380;100.0%;103380
Martins Bou Assi;24 meses;B6;21,70% a.a.;R$86.000;49;loan_103322;100.0%;103322
Draggao;24 meses;C2;26,82% a.a.;R$32.000;49;loan_103316;100.0%;103316
Figata Pizza e Birra;24 meses;D2;37,99% a.a.;R$160.000;49;loan_103126;100.0%;103126
Metalcena;24 meses;E2;61,59% a.a.;R$54.000;49;loan_103091;100.0%;103091
Chapéu & CIA;12 meses;D1;35,28% a.a.;R$126.000;50;loan_103045;100.0%;103045
Shawee;24 meses;D1;35,28% a.a.;R$108.000;50;loan_103012;100.0%;103012
TY Boutique;24 meses;B5;20,70% a.a.;R$70.000;50;loan_102768;100.0%;102768
Quantum Medical;15 meses;C1;25,64% a.a.;R$102.000;50;loan_102707;100.0%;102707
Marfin Lab;24 meses;D3;41,91% a.a.;R$26.000;50;loan_102698;100.0%;102698
Global TTI;24 meses;D1;35,28% a.a.;R$110.000;50;loan_102659;100.0%;102659
Paulinho Alinhamentos Auto Centro;24 meses;C3;28,32% a.a.;R$82.000;50;loan_102624;100.0%;102624
Code Studio;24 meses;E2;61,59% a.a.;R$84.000;50;loan_101963;100.0%;101963
Akasa do Açaí;24 meses;C2;26,82% a.a.;R$28.000;50;loan_101857;100.0%;101857
Oficina do Conhecimento;18 meses;E2;61,59% a.a.;R$28.000;50;loan_101249;100.0%;101249
RME Consulting;24 meses;C3;28,32% a.a.;R$22.000;51;loan_101247;100.0%;101247
Guppy;24 meses;D3;41,91% a.a.;R$28.000;51;loan_101225;100.0%;101225
Pastéis Takeda;24 meses;D3;41,91% a.a.;R$56.000;51;loan_100896;100.0%;100896
Escola Actos;24 meses;D3;41,91% a.a.;R$56.000;51;loan_100629;100.0%;100629
Anchieta Motos;24 meses;C3;28,32% a.a.;R$46.000;51;loan_100567;100.0%;100567
Fibravite.com;18 meses;E1;59,73% a.a.;R$32.000;51;loan_100214;100.0%;100214
Solidez Desenvolvimento Urbano;24 meses;D1;35,28% a.a.;R$76.000;51;loan_100174;100.0%;100174
Revivere Centro de Reabilitação Animal;24 meses;D1;35,28% a.a.;R$116.000;51;loan_100137;100.0%;100137
RC Comercio em Geral;9 meses;E2;61,59% a.a.;R$16.000;51;loan_99900;100.0%;99900
Outbound Marketing Consultoria;24 meses;B4;19,70% a.a.;R$166.000;51;loan_98902;100.0%;98902
Unopar;24 meses;C3;28,32% a.a.;R$54.000;52;loan_100466;100.0%;100466
OMNILOGIC;12 meses;B6;21,70% a.a.;R$100.000;52;loan_102339;100.0%;102339
ATIVA SERVICOS ESPECIALIZADOS;24 meses;D3;41,91% a.a.;R$100.000;52;loan_98026;100.0%;98026
Agência Monster;18 meses;D1;35,28% a.a.;R$28.000;52;loan_102695;100.0%;102695
BOXPAG;24 meses;D2;37,99% a.a.;R$56.000;52;loan_102382;100.0%;102382
FX Comercio de Peças Automotivas;24 meses;D1;35,28% a.a.;R$108.000;52;loan_102341;100.0%;102341
Cabana.Work;24 meses;C2;26,82% a.a.;R$28.000;52;loan_102289;100.0%;102289
AW Marketing;24 meses;B6;21,70% a.a.;R$48.000;52;loan_101929;100.0%;101929
Um Café, Por Favor!;24 meses;E2;61,59% a.a.;R$54.000;52;loan_101892;100.0%;101892
Tecnum;18 meses;D1;35,28% a.a.;R$54.000;52;loan_101879;100.0%;101879
Kamicon;24 meses;B6;21,70% a.a.;R$56.000;53;loan_101742;100.0%;101742
Eletron Elevadores;24 meses;D3;41,91% a.a.;R$66.000;53;loan_101431;100.0%;101431
Sothis Tecnologia e Serviços de Telecomunicações;24 meses;B5;20,70% a.a.;R$162.000;53;loan_101238;100.0%;101238
ProjectPlan;24 meses;B5;20,70% a.a.;R$108.000;53;loan_100783;100.0%;100783
Lotici;24 meses;C1;25,64% a.a.;R$264.000;53;loan_100698;100.0%;100698
Plannix Soluções em Software;24 meses;B4;19,70% a.a.;R$94.000;53;loan_100685;100.0%;100685
PromoVer Promoções;24 meses;D1;35,28% a.a.;R$34.000;53;loan_100599;100.0%;100599
Rede Construfort;24 meses;E2;61,59% a.a.;R$34.000;53;loan_100888;100.0%;100888
