nome_empresa;prazo;rating;TIR;valor;pagina;codigo_emprestimo;porcentagem;codigo_emprestimo_num
R5 SOLUCOES;24 meses;D1;35,28% a.a.;R$22.000;6;loan_125132;100.0%;125132
Munhoz Alves Sociedade Individual de Advocacia;24 meses;D2;37,99% a.a.;R$18.000;7;loan_125042;100.0%;125042
Instituto Apta;24 meses;D3;41,91% a.a.;R$16.000;7;loan_124924;100.0%;124924
MEZAS;24 meses;C2;26,82% a.a.;R$34.000;7;loan_124689;100.0%;124689
SPRAYLINE;12 meses;E1;59,73% a.a.;R$22.000;7;loan_123559;100.0%;123559
UPscale Eventos;24 meses;B6;21,70% a.a.;R$174.000;7;loan_123531;100.0%;123531
TOP FRANCE CENTRO AUTOMOTIVO;12 meses;D3;41,91% a.a.;R$16.000;7;loan_120844;100.0%;120844
ALGICAR VEICULOS;24 meses;D1;35,28% a.a.;R$66.000;7;loan_119218;100.0%;119218
Dasos Gestão Florestal;24 meses;B4;19,70% a.a.;R$328.000;7;loan_125509;100.0%;125509
FIGUS COSMETICOS;24 meses;B3;18,72% a.a.;R$272.000;7;loan_125481;100.0%;125481
OralMed ;12 meses;D3;41,91% a.a.;R$16.000;7;loan_125261;100.0%;125261
NAZCA MARKETING;24 meses;C3;28,32% a.a.;R$84.000;8;loan_125174;100.0%;125174
PAES E DOCES IRMAOS HENRIQUES LTDA;24 meses;D3;41,91% a.a.;R$34.000;8;loan_124906;100.0%;124906
Lotici;24 meses;B4;19,70% a.a.;R$327.000;8;loan_124535;100.0%;124535
WARSOFT BRASIL;24 meses;C1;25,64% a.a.;R$56.000;8;loan_124476;100.0%;124476
Delivery much;24 meses;C2;26,82% a.a.;R$34.000;8;loan_124383;100.0%;124383
DESEJO E AMOR;24 meses;B6;21,70% a.a.;R$44.000;8;loan_124305;100.0%;124305
GOLDEN E PET DAY CARE;24 meses;C1;25,64% a.a.;R$26.000;8;loan_124295;100.0%;124295
CONSTRUWILSON'S;24 meses;D3;41,91% a.a.;R$66.000;8;loan_124046;100.0%;124046
Hansl restaurante;24 meses;B6;21,70% a.a.;R$44.000;8;loan_124028;100.0%;124028
Empresarial Prime ;24 meses;C1;25,64% a.a.;R$56.000;8;loan_123693;100.0%;123693
RIBEIRAO DIESEL BOMBAS INJETORAS LTDA;24 meses;D3;41,91% a.a.;R$88.000;9;loan_123495;100.0%;123495
SUPER TROCA MEIER;24 meses;D1;35,28% a.a.;R$22.000;9;loan_124621;100.0%;124621
Invercenter;12 meses;C3;28,32% a.a.;R$26.000;9;loan_124318;100.0%;124318
TURBO RECAPAGENS;24 meses;B6;21,70% a.a.;R$66.000;9;loan_124179;100.0%;124179
SUPERGEEKS ASA NORTE;24 meses;B6;21,70% a.a.;R$82.000;9;loan_124176;100.0%;124176
FMJ CAFETERIA LTDA;24 meses;E3;63,65% a.a.;R$28.000;9;loan_124056;100.0%;124056
tai marketing;24 meses;B6;21,70% a.a.;R$89.000;9;loan_124003;100.0%;124003
ZITYS DO BRASIL COMERCIO E SERVICOS LTDA;24 meses;C3;28,32% a.a.;R$46.000;9;loan_123993;100.0%;123993
CSX SOLUCOES;24 meses;D1;35,28% a.a.;R$56.000;9;loan_123971;100.0%;123971
Léshed;24 meses;C3;28,32% a.a.;R$34.000;9;loan_123960;100.0%;123960
Infratecsolucoes;18 meses;C3;28,32% a.a.;R$54.000;10;loan_123892;100.0%;123892
HOTEL SAN MICHEL;24 meses;D3;41,91% a.a.;R$56.000;10;loan_123465;100.0%;123465
ALPHA ORGANIZACAO CONTABIL;18 meses;B5;20,70% a.a.;R$54.000;10;loan_123295;100.0%;123295
F S PEREIRA DA ENCARNACAO;18 meses;D3;41,91% a.a.;R$88.000;10;loan_122840;100.0%;122840
DEDETIZADORA PROINSETY E CIA;24 meses;D1;35,28% a.a.;R$52.000;10;loan_122824;100.0%;122824
EMPORIO TEMPO;12 meses;D1;35,28% a.a.;R$26.000;10;loan_122691;100.0%;122691
COLEGIO NOVO IDEAL;24 meses;D3;41,91% a.a.;R$100.000;10;loan_122152;100.0%;122152
RC DOMINIO;24 meses;B5;20,70% a.a.;R$137.000;10;loan_121473;100.0%;121473
COOPEROESTE;18 meses;B2;17,74% a.a.;R$540.000;10;loan_121410;100.0%;121410
Dnetal Esthetic & Health Clinica Odontologica Ltda;12 meses;B6;21,70% a.a.;R$22.000;10;loan_119734;100.0%;119734
auwe;12 meses;B4;19,70% a.a.;R$86.000;11;loan_114580;100.0%;114580
POLIAMINAS;24 meses;B4;19,70% a.a.;R$434.000;11;loan_123437;100.0%;123437
FLORA VERDE;24 meses;C1;25,64% a.a.;R$50.000;11;loan_123390;100.0%;123390
SIM;24 meses;E1;59,73% a.a.;R$22.000;11;loan_123297;100.0%;123297
Alto Vale Limpezas Ltda;6 meses;B4;19,70% a.a.;R$20.000;11;loan_123218;100.0%;123218
JOTTA SOLUCOES EM PORTAS E JANELAS DE ALUMINIO;24 meses;D3;41,91% a.a.;R$34.000;11;loan_123082;100.0%;123082
RCB EMBALAGENS E MATERIAL GRAFICO; 24 meses;D2;37,99% a.a.;R$56.000;11;loan_122795;100.0%;122795
LOUZANO PALLETS;10 meses;D3;41,91% a.a.;R$42.000;11;loan_122711;100.0%;122711
SINGLE NOTE;24 meses;C2;26,82% a.a.;R$66.000;11;loan_122673;100.0%;122673
JOCELI;24 meses;C2;26,82% a.a.;R$88.000;11;loan_122526;100.0%;122526
Casmil;18 meses;B5;20,70% a.a.;R$330.000;12;loan_122452;98.2%;122452
Vale Do Ouro;18 meses;C3;28,32% a.a.;R$110.000;12;loan_122389;100.0%;122389
Plauth Representeçoes Com.;24 meses;D3;41,91% a.a.;R$54.000;12;loan_122326;100.0%;122326
SOLUTION RENT A CAR;24 meses;B6;21,70% a.a.;R$132.000;12;loan_122084;100.0%;122084
LEO MODAS;24 meses;E1;59,73% a.a.;R$34.000;12;loan_121807;100.0%;121807
CASA DO ROADIE;24 meses;B6;21,70% a.a.;R$56.000;12;loan_121624;100.0%;121624
SUPERMERCADO COMPRAKI;24 meses;B5;20,70% a.a.;R$164.000;12;loan_121374;100.0%;121374
3MBROKERS;24 meses;C2;26,82% a.a.;R$154.000;12;loan_121363;100.0%;121363
COMERCIAL BENA;24 meses;D3;41,91% a.a.;R$50.000;12;loan_121354;100.0%;121354
WEL FORD;24 meses;B6;21,70% a.a.;R$110.000;12;loan_121338;100.0%;121338
STILOINOX CHURRASQUEIRAS;24 meses;D1;35,28% a.a.;R$78.000;13;loan_120998;100.0%;120998
Edge Brasil;12 meses;C1;25,64% a.a.;R$54.000;13;loan_120810;100.0%;120810
STUDIO CORPO E MENTE;24 meses;D3;41,91% a.a.;R$88.000;13;loan_120522;100.0%;120522
JPB;24 meses;E2;61,59% a.a.;R$34.000;13;loan_120414;100.0%;120414
AQUA SPACE;24 meses;B6;21,70% a.a.;R$108.000;13;loan_120197;100.0%;120197
Não+Pelo;24 meses;C3;28,32% a.a.;R$56.000;13;loan_120103;100.0%;120103
Orion Telecon;24 meses;D2;37,99% a.a.;R$44.000;13;loan_119771;100.0%;119771
Bangues Comércio e Representações;12 meses;E1;59,73% a.a.;R$54.000;13;loan_118390;100.0%;118390
Sacolão 120;24 meses;D1;35,28% a.a.;R$54.000;13;loan_117973;100.0%;117973
FARMACIA DO POVO TRABALHADOR;24 meses;D2;37,99% a.a.;R$28.000;13;loan_117189;100.0%;117189
ACESSUS SEGURANCA;24 meses;C2;26,82% a.a.;R$56.000;14;loan_116700;100.0%;116700
Iprint soluções;24 meses;C3;28,32% a.a.;R$44.000;14;loan_18036;100.0%;18036
WANDERSON RODRIGUES MARTINS;24 meses;B4;19,70% a.a.;R$98.000;14;loan_120842;100.0%;120842
MENSAGEIROS DA PAZ ;24 meses;B5;20,70% a.a.;R$126.000;14;loan_121401;100.0%;121401
